Curriculum,ENVS emphasis,,,,,,,,,,,,Institution
Institution,University of Arizona,,,,,,,,,,,,1 =  Cochise College
Degree Type,BS,,,,,,,,,,,,2 = UA
System Type,semester,,,,,,,,,,,,
CIP,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,,,
1,First Year Composition 1,ENGL,101,,,,3,1,,1,,,
2,First Year Composition 2,ENGL,102,1,,,3,1,,2,,,
3,College Algebra Concepts & Applications,MATH,112,,,,3,1,,1,,,
4,Gen Ed  Tier 1,Trad,1,,,,3,1,,1,,,
5,Gen Ed  Tier 1,Trad,2,4,,,3,1,,2,,,
6,Gen Ed INDV 1,INDV,1,,,,3,,,2,,,
7,Gen Ed INDV 1,INDV,2,6,,,3,,,2,,,
8,Gen Ed  Tier 2,Human,,2,,,3,,,2,,,
9,Gen Ed  Tier 2 Indv & Soci,I & S,,,,,3,1,,3,,,
10,Gen Ed  Tier 2,Arts,,,,,3,2,,5,,,
11,Foreign Language,FL,,,,,,1,,2,,,
12,General Chemistry,CHEM,141,,,,3,,,,,,
13,General Chemistry,Chem,143,,12,,1,,,,,,
14,General Chemistry,Chem,142,,,,3,,,,,,
15,General Chemistry,Chem,144,,14,,1,,,,,,
16,General Chemistry,Chem,151,,,,3,1,,2,,,
17,General Chemistry,Chem,153,,12,,1,,,,,,
18,General Chemistry,Chem,152,,,,3,1,,3,,,
19,General Chemistry,Chem,154,,14,,1,,,,,,
20,General Chemistry,Chem,161,,,,3,,,,,,
21,General Chemistry,Chem,163,,12,,1,,,,,,
22,General Chemistry,Chem,162,,,,3,,,,,,
23,General Chemistry,Chem,164,,14,,1,1,,1,,,
24,Introduction Biology 1,MCB,181,,,,3,,,,,,
25,Introduction Biology 2,Ecol,182,24,,,3,2,,4,,,
26,Introduction Physics 1,PHYS,102,,,,3,1,,4,,,
27,Introduction Physics 1,PHYS,181,,,,3,,,,,,
28,Introduction Physics 1,PHYS,141,,,,3,,,,,,
29,Introduction Microbiology,MIC,205,,,,3,1,,4,,,
30,Introduction to Soil Science,ENVS,200,19,,,3,2,,3,,,
31,Introduction to Soil Science Laboratory,ENVS,201,,37,,1,2,,3,,,
32,Fundamentals of Environmental Science & Sustainability,ENVS,210,,,,3,2,,1,,,
33,Critical Zone Science,ENVS,270,76,,,3,2,,2,,,
34,Data Analysis in Life and Environmental Science,ENVS,275,69,,,3,2,,5,,,
